caseid,gend_gendobs,finance_finpast,libcpre_self,ineq_incgap,effic_saystd,effic_complicrev,guarpr_self,trustgov_trustgrev,relig_pray,dem_birthyr,dem_marital,zipcode
2009,1,2,5,1,-1,3,5,3,3,1985,4,57552
4426,-1,1,4,1,-1,3,1,4,3,1945,4,23698
5505,-1,2,6,3,-1,4,5,4,2,1930,1,73585
4514,-1,2,6,2,-1,4,4,5,5,1950,1,17068
4860,-1,2,5,3,-1,2,5,4,1,1959,1,17598
5956,-1,2,5,1,-1,4,6,4,1,1967,1,51316
422,2,2,-2,1,1,-1,-2,-1,3,1976,6,18659
4314,-1,1,2,1,-1,4,4,4,4,1977,1,12233
1100,1,2,4,1,2,-1,2,-1,5,1980,6,89604
6062,-1,2,7,1,-1,4,1,4,3,1970,6,74735
5926,-1,1,2,1,-1,4,3,4,5,1983,6,33342
4026,-1,1,3,1,2,-1,3,-1,2,1990,6,90645
6667,-1,2,5,1,-1,2,6,3,1,1960,1,73525
3893,-1,1,2,1,4,-1,4,-1,5,1927,1,54705
6196,-1,2,4,1,2,-1,-2,-1,3,1956,1,42824
